sku,name,category,grade,color_family,image_url,detail_url
29323,Pepperwood,Cushion Fabrics,,Gray / Charcoal,"https://platform.brownjordan.com/media/catalog/product/2/9/29323_tropitone_large_1226.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=&width=",https://www.tropitone.com/materials/fabrics/cushion-fabrics/29323
89140,Satelite,Cushion Fabrics,,Gray / Charcoal,"https://platform.brownjordan.com/media/catalog/product/8/9/89140_tropitone_large_1ecb.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=&width=",https://www.tropitone.com/materials/fabrics/cushion-fabrics/89140
89149,Madras Tweed Niko,Cushion Fabrics,,Multi / Pattern,"https://platform.brownjordan.com/media/catalog/product/8/9/89149_tropitone_large_f1b7.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=&width=",https://www.tropitone.com/materials/fabrics/cushion-fabrics/89149
41118,Seagull,Cushion Fabrics,,Gray / Charcoal,"https://platform.brownjordan.com/media/catalog/product/4/1/41118_tropitone_large_9e01.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=&width=",https://www.tropitone.com/materials/fabrics/cushion-fabrics/41118
10321,Rincon,Cushion Fabrics,,Beige / Sand / Tan,"https://platform.brownjordan.com/media/catalog/product/1/0/10321_tropitone_large_89ca.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=&width=",https://www.tropitone.com/materials/fabrics/cushion-fabrics/10321
11309,Metallica,Cushion Fabrics,,Gray / Charcoal,"https://platform.brownjordan.com/media/catalog/product/1/1/11309_tropitone_large_9ea4.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=&width=",https://www.tropitone.com/materials/fabrics/cushion-fabrics/11309
89150,Madras Tweed Blueprint,Cushion Fabrics,,Multi / Pattern,"https://platform.brownjordan.com/media/catalog/product/8/9/89150_tropitone_large_b722.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=&width=",https://www.tropitone.com/materials/fabrics/cushion-fabrics/89150
89145,Pyrite,Cushion Fabrics,,Gray / Charcoal,"https://platform.brownjordan.com/media/catalog/product/8/9/89145_tropitone_large_ab6c.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=&width=",https://www.tropitone.com/materials/fabrics/cushion-fabrics/89145
27523,Wintermoor,Cushion Fabrics,,Gray / Charcoal,"https://platform.brownjordan.com/media/catalog/product/2/7/27523_tropitone_large_e43d.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=&width=",https://www.tropitone.com/materials/fabrics/cushion-fabrics/27523
10272,Blue Lagoon,Cushion Fabrics,,Blue / Navy / Teal,"https://platform.brownjordan.com/media/catalog/product/1/0/10272_tropitone_large_8cbf.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=&width=",https://www.tropitone.com/materials/fabrics/cushion-fabrics/10272
