SKU,Name,Brand,Grade,Primary Color,All Colors,Design,Swatch Image URL
1039/15,Sand Parchment,Tempotest®,E,Beige,Beige,Solids,https://frankford.b-cdn.net/fabric_swatches/tempotest_foundations_sand-parchment_1039-15.jpg
1039/930,Sand Beach,Tempotest®,E,Beige,Beige,Solids,https://frankford.b-cdn.net/fabric_swatches/tempotest_foundations_sand-beach_1039-930.jpg
1040/24,Sand Smoke,Tempotest®,E,Beige,Beige,Solids,https://frankford.b-cdn.net/fabric_swatches/tempotest_foundations_sand-smoke_1040-24.jpg
1041/14,Sand Bark,Tempotest®,E,Brown,Brown,Solids,https://frankford.b-cdn.net/fabric_swatches/tempotest_foundations_sand-bark_1041-14.jpg
1042/79,Sand Denim,Tempotest®,E,Blue,Blue,Solids,https://frankford.b-cdn.net/fabric_swatches/tempotest_foundations_sand-denim_1042-79.jpg
1043/929,Sand Silver,Tempotest®,E,Grey,Grey,Solids,https://frankford.b-cdn.net/fabric_swatches/tempotest_foundations_sand-silver_1043-929.jpg
1044/15,Sand White,Tempotest®,E,White,White,Solids,https://frankford.b-cdn.net/fabric_swatches/tempotest_foundations_sand-white_1044-15.jpg
1045/25,Sand Onyx,Tempotest®,E,Black,Black,Solids,https://frankford.b-cdn.net/fabric_swatches/tempotest_foundations_sand-onyx_1045-25.jpg
1045/79,Sand Graphite,Tempotest®,E,Grey,Grey,Solids,https://frankford.b-cdn.net/fabric_swatches/tempotest_foundations_sand-graphite_1045-79.jpg
1046/93,Sand Slate,Tempotest®,E,Grey,Grey,Solids,https://frankford.b-cdn.net/fabric_swatches/tempotest_foundations_sand-slate_1046-93.jpg
3271,Sierra Beach,Sattler / Outdura,E,Beige,Beige,Stripes,https://frankford.b-cdn.net/fabric_swatches/outdura_sierra_sierra-beach_3271.jpg
3273,Sierra Turquoise,Sattler / Outdura,E,Green,Green,Stripes,https://frankford.b-cdn.net/fabric_swatches/outdura_sierra_sierra-turquoise_3273.jpg
3274,Sierra Delft,Sattler / Outdura,E,Blue,Blue,Stripes,https://frankford.b-cdn.net/fabric_swatches/outdura_sierra_sierra-delft_3274.jpg
3279,Sierra Dove,Sattler / Outdura,E,Grey,Grey,Stripes,https://frankford.b-cdn.net/fabric_swatches/outdura_sierra_sierra-dove_3279.jpg
3281,Sierra Meringue,Sattler / Outdura,E,White,White,Stripes,https://frankford.b-cdn.net/fabric_swatches/outdura_sierra_sierra-meringue_3281.jpg
3283,Sierra Terracotta,Sattler / Outdura,E,Red,Red,Stripes,https://frankford.b-cdn.net/fabric_swatches/outdura_sierra_sierra-terracotta_3283.jpg
