table_top_sku,base_sku
#D-42UD,BT03-BASE
#D-42UD,AT-DT03
#D-42UD,AT-CT03
#D-42UD,MA-OT03
#D-42UD,MA-DT03
#D-42UD,MA-CT03
#D-42UD,MA-BT03
#D-42UD,37-DT03
#D-42UD,9-DT03
#D-54D,DT03-BASE
#D-54D,AT-DT03
#D-54D,MA-DT03
#D-54D,37-DT03
#D-54D,9-DT03
#D-54UD,DT03-BASE
#D-54UD,AT-DT03
#D-54UD,MA-DT03
#D-54UD,37-DT03
#D-54UD,9-DT03
#D-2850RTD,OT05-BASE
#D-2850RTD,DT05-BASE
#D-2850RTD,MA-OT05
#D-2850RTD,MA-CT05
#D-2850RTD,MA-BT05
#D-2850RTD,37-OT05
#D-2850RTD,9-OT05
#D-3658RTD,OT05-BASE
#D-3658RTD,DT05-BASE
#D-3658RTD,MA-OT05
#D-3658RTD,MA-CT05
#D-3658RTD,MA-BT05
#D-3658RTD,37-OT05
#D-3658RTD,9-OT05
#D-3658RTUD,OT05-BASE
#D-3658RTUD,DT05-BASE
#D-3658RTUD,MA-OT05
#D-3658RTUD,MA-CT05
#D-3658RTUD,MA-BT05
#D-3658RTUD,37-OT05
#D-3658RTUD,9-OT05
#D-4272RTD,DT07-BASE
#D-4272RTD,AT-DT07
#D-4272RTD,MA-DT07
#D-4272RTD,PA-DT07
#D-4272RTD,37-DT07
#D-4272RTD,9-DT07
#D-4272RTUD,DT07-BASE
#D-4272RTUD,AT-DT07
#D-4272RTUD,MA-DT07
#D-4272RTUD,PA-DT07
#D-4272RTUD,37-DT07
#D-4272RTUD,9-DT07
#D-4284RTD,DT07-BASE
#D-4284RTD,AT-DT07
#D-4284RTD,MA-DT07
#D-4284RTD,PA-DT07
#D-4284RTD,37-DT07
#D-4284RTD,9-DT07
#D-4284RTUD,DT07-BASE
#D-4284RTUD,AT-DT07
#D-4284RTUD,MA-DT07
#D-4284RTUD,PA-DT07
#D-4284RTUD,37-DT07
#D-4284RTUD,9-DT07
#D-42120RTD,AT-DT10
#D-42120RTD,MA-DT10
#D-24SQD,ST01-BASE
#D-24SQD,DT01-BASE
#D-24SQD,CT01-BASE
#D-24SQD,BT01-BASE
#D-24SQD,AT-DT01
#D-24SQD,AT-CT01
#D-24SQD,MA-ST01
#D-24SQD,37-ST01
#D-24SQD,9-ST01
#D-36SQD,OT03-BASE
#D-36SQD,DT03-BASE
#D-36SQD,CT03-BASE
#D-36SQD,BT03-BASE
#D-36SQD,AT-DT03
#D-36SQD,AT-CT03
#D-36SQD,MA-OT03
#D-36SQD,MA-DT03
#D-36SQD,MA-CT03
#D-36SQD,MA-BT03
#D-36SQD,37-DT03
#D-36SQD,9-DT03
#D-42SQD,OT03-BASE
#D-42SQD,DT03-BASE
#D-42SQD,CT03-BASE
#D-42SQD,BT03-BASE
#D-42SQD,AT-DT03
#D-42SQD,AT-CT03
#D-42SQD,MA-OT03
#D-42SQD,MA-DT03
#D-42SQD,MA-CT03
#D-42SQD,MA-BT03
#D-42SQD,37-DT03
#D-42SQD,9-DT03
#D-42SQUD,OT03-BASE
#D-42SQUD,DT03-BASE
#D-42SQUD,CT03-BASE
#D-42SQUD,BT03-BASE
#D-42SQUD,AT-DT03
#D-42SQUD,AT-CT03
#D-42SQUD,MA-OT03
#D-42SQUD,MA-DT03
#D-42SQUD,MA-CT03
#D-42SQUD,MA-BT03
#D-42SQUD,37-DT03
#D-42SQUD,9-DT03
#V-24D,ST01-BASE
#V-24D,DT01-BASE
#V-24D,CT01-BASE
#V-24D,BT01-BASE
#V-24D,AT-DT01
#V-24D,AT-CT01
#V-24D,MA-ST01
#V-24D,37-ST01
#V-24D,9-ST01
#V-30D,ST01-BASE
#V-30D,DT01-BASE
#V-30D,CT01-BASE
#V-30D,BT01-BASE
#V-30D,AT-DT01
#V-30D,AT-CT01
#V-30D,MA-ST01
#V-30D,37-ST01
#V-30D,9-ST01
#V-42D,OT03-BASE
#V-42D,DT03-BASE
#V-42D,CT03-BASE
#V-42D,BT03-BASE
#V-42D,AT-DT03
#V-42D,AT-CT03
#V-42D,MA-OT03
#V-42D,MA-DT03
#V-42D,MA-CT03
#V-42D,MA-BT03
#V-42D,37-DT03
#V-42D,9-DT03
#V-42UD,OT03-BASE
#V-42UD,DT03-BASE
#V-42UD,CT03-BASE
#V-42UD,BT03-BASE
#V-42UD,AT-DT03
#V-42UD,AT-CT03
#V-42UD,MA-OT03
#V-42UD,MA-DT03
#V-42UD,MA-CT03
#V-42UD,MA-BT03
#V-42UD,37-DT03
#V-42UD,9-DT03
#V-54D,DT03-BASE
#V-54D,AT-DT03
#V-54D,MA-DT03
#V-54D,37-DT03
#V-54D,9-DT03
#V-54UD,DT03-BASE
#V-54UD,AT-DT03
#V-54UD,MA-DT03
#V-54UD,37-DT03
#V-54UD,9-DT03
#V-2850RTD,OT05-BASE
#V-2850RTD,DT05-BASE
#V-2850RTD,MA-OT05
#V-2850RTD,MA-CT05
#V-2850RTD,MA-BT05
#V-2850RTD,37-OT05
#V-2850RTD,9-OT05
#V-3658RTD,OT05-BASE
#V-3658RTD,DT05-BASE
#V-3658RTD,MA-OT05
#V-3658RTD,MA-CT05
#V-3658RTD,MA-BT05
#V-3658RTD,37-OT05
#V-3658RTD,9-OT05
#V-3658RTUD,OT05-BASE
#V-3658RTUD,DT05-BASE
#V-3658RTUD,MA-OT05
#V-3658RTUD,MA-CT05
#V-3658RTUD,MA-BT05
#V-3658RTUD,37-OT05
#V-3658RTUD,9-OT05
#V-4272RTD,DT07-BASE
#V-4272RTD,AT-DT07
#V-4272RTD,MA-DT07
#V-4272RTD,PA-DT07
#V-4272RTD,37-DT07
#V-4272RTD,9-DT07
#V-4272RTUD,DT07-BASE
#V-4272RTUD,AT-DT07
#V-4272RTUD,MA-DT07
#V-4272RTUD,PA-DT07
#V-4272RTUD,37-DT07
#V-4272RTUD,9-DT07
#V-4284RTD,DT07-BASE
#V-4284RTD,AT-DT07
#V-4284RTD,MA-DT07
#V-4284RTD,PA-DT07
#V-4284RTD,37-DT07
#V-4284RTD,9-DT07
#V-4284RTUD,DT07-BASE
#V-4284RTUD,AT-DT07
#V-4284RTUD,MA-DT07
#V-4284RTUD,PA-DT07
#V-4284RTUD,37-DT07
#V-4284RTUD,9-DT07
#V-42120RTD,AT-DT10
#V-42120RTD,MA-DT10
#V-24SQD,ST01-BASE
#V-24SQD,DT01-BASE
#V-24SQD,CT01-BASE
#V-24SQD,BT01-BASE
#V-24SQD,AT-DT01
#V-24SQD,AT-CT01
#V-24SQD,MA-ST01
#V-24SQD,37-ST01
#V-24SQD,9-ST01
#V-36SQD,OT03-BASE
#V-36SQD,DT03-BASE
#V-36SQD,CT03-BASE
#V-36SQD,BT03-BASE
#V-36SQD,AT-DT03
#V-36SQD,AT-CT03
#V-36SQD,MA-OT03
#V-36SQD,MA-DT03
#V-36SQD,MA-CT03
#V-36SQD,MA-BT03
#V-36SQD,37-DT03
#V-36SQD,9-DT03
#V-42SQD,OT03-BASE
#V-42SQD,DT03-BASE
#V-42SQD,CT03-BASE
#V-42SQD,BT03-BASE
#V-42SQD,AT-DT03
#V-42SQD,AT-CT03
#V-42SQD,MA-OT03
#V-42SQD,MA-DT03
#V-42SQD,MA-CT03
#V-42SQD,MA-BT03
#V-42SQD,37-DT03
#V-42SQD,9-DT03
#V-42SQUD,OT03-BASE
#V-42SQUD,DT03-BASE
#V-42SQUD,CT03-BASE
#V-42SQUD,BT03-BASE
#V-42SQUD,AT-DT03
#V-42SQUD,AT-CT03
#V-42SQUD,MA-OT03
#V-42SQUD,MA-DT03
#V-42SQUD,MA-CT03
#V-42SQUD,MA-BT03
#V-42SQUD,37-DT03
#V-42SQUD,9-DT03
#MM-24RD,ST01-BASE
#MM-24RD,DT01-BASE
#MM-24RD,CT01-BASE
#MM-24RD,BT01-BASE
#MM-24RD,AT-DT01
#MM-24RD,AT-CT01
#MM-24RD,MA-ST01
#MM-24RD,37-ST01
#MM-24RD,9-ST01
#MM-2850RT,OT05-BASE
#MM-2850RT,DT05-BASE
#MM-2850RT,MA-OT05
#MM-2850RT,MA-CT05
#MM-2850RT,MA-BT05
#MM-2850RT,37-OT05
#MM-2850RT,9-OT05
#MM-30RD,ST01-BASE
#MM-30RD,DT01-BASE
#MM-30RD,CT01-BASE
#MM-30RD,BT01-BASE
#MM-30RD,AT-DT01
#MM-30RD,AT-CT01
#MM-30RD,MA-ST01
#MM-30RD,37-ST01
#MM-30RD,9-ST01
#MM-3658RTU,OT05-BASE
#MM-3658RTU,DT05-BASE
#MM-3658RTU,MA-OT05
#MM-3658RTU,MA-CT05
#MM-3658RTU,MA-BT05
#MM-3658RTU,37-OT05
#MM-3658RTU,9-OT05
#MM-42RDU,OT03-BASE
#MM-42RDU,DT03-BASE
#MM-42RDU,CT03-BASE
#MM-42RDU,BT03-BASE
#MM-42RDU,AT-DT03
#MM-42RDU,AT-CT03
#MM-42RDU,MA-OT03
#MM-42RDU,MA-DT03
#MM-42RDU,MA-CT03
#MM-42RDU,MA-BT03
#MM-42RDU,37-DT03
#MM-42RDU,9-DT03
#MM-42SQU,OT03-BASE
#MM-42SQU,DT03-BASE
#MM-42SQU,CT03-BASE
#MM-42SQU,BT03-BASE
#MM-42SQU,AT-DT03
#MM-42SQU,AT-CT03
#MM-42SQU,MA-OT03
#MM-42SQU,MA-DT03
#MM-42SQU,MA-CT03
#MM-42SQU,MA-BT03
#MM-42SQU,37-DT03
#MM-42SQU,9-DT03
#MM-54RDU,OT03-BASE
#MM-54RDU,DT03-BASE
#MM-54RDU,CT03-BASE
#MM-54RDU,BT03-BASE
#MM-54RDU,AT-DT03
#MM-54RDU,AT-CT03
#MM-54RDU,MA-OT03
#MM-54RDU,MA-DT03
#MM-54RDU,MA-CT03
#MM-54RDU,MA-BT03
#MM-54RDU,37-DT03
#MM-54RDU,9-DT03
#MM-4284RTU,DT07-BASE
#MM-4284RTU,AT-DT07
#MM-4284RTU,MA-DT07
