name,sku,collection,category,width,depth,height,seat_height,arm_height,fabrics,finishes,frame_materials,additional_colors,description,tags,image_url,url
Hex Tray,HETR-ANTHRSTOCK-0000,HEX,Coffee Side Tables,48cm/19,48cm/19,47cm/19,,,,"Anthracite, Cover Light grey, White",,,PRODUCT DETAILS PRODUCT SPECIFICATIONS W-48cm/19″ D-48cm/19″ H-47cm/19″,,https://america.couturejardin.com/wp-content/uploads/2021/05/Hex_01.jpg,https://america.couturejardin.com/product/hex-tray/
Hug Coffee Table,HU04-ANTHRSTOCK-0000,HUG,Coffee Side Tables,71cm/28,81cm/32,40cm/16,,,"UV treated, rope","Frame Anthracite, Seat/Back Dark grey, Table Top Ceramic-Coated Glass, Weaving Anthracite","welded, aluminum, powder coating",,Contract-grade welded aluminum frame | Tiger brand powder coating frame | The tables have a tempered Ceramic-coated glass top | UV treated outdoor maxrope,Hug,https://america.couturejardin.com/wp-content/uploads/2021/05/hug-05.jpg,https://america.couturejardin.com/product/hug-coffee-table/
Hug Coffee Table Greige,HU04-GREIGSTOCK-0000,HUG,Coffee Side Tables,71cm/28,81cm/32,40cm/16,,,"UV treated, rope","Frame Anthracite, Seat/Back Dark grey, Table Top Ceramic-Coated Glass, Weaving Anthracite","welded, aluminum, powder coating",,Contract-grade welded aluminum frame | Tiger brand powder coating frame | The tables have a tempered Ceramic-coated glass top | UV treated outdoor maxrope,Hug,https://america.couturejardin.com/wp-content/uploads/2024/06/hu04-2.jpg,https://america.couturejardin.com/product/hug-coffee-table-greige/
Hug Side Table,HU02-ANTHRSTOCK-0000,HUG,Coffee Side Tables,51cm/20,84cm/33,55cm/22,,,"UV treated, rope","Frame Anthracite, Seat/Back Dark grey, Table Top Ceramic-Coated Glass, Weaving Anthracite","welded, aluminum, powder coating",,Contract-grade welded aluminum frame | Tiger brand powder coating frame | The tables have a tempered Ceramic-coated glass top | UV treated outdoor maxrope,Hug,https://america.couturejardin.com/wp-content/uploads/2021/05/hug-side-table-sku-hu02.jpg,https://america.couturejardin.com/product/hug-side-table/
Hug Side Table Greige,HU02-GREIGSTOCK-0000,HUG,Coffee Side Tables,51cm/20,84cm/33,55cm/22,,,"UV treated, rope","Frame Anthracite, Seat/Back Dark grey, Table Top Ceramic-Coated Glass, Weaving Anthracite","welded, aluminum, powder coating",,Contract-grade welded aluminum frame | Tiger brand powder coating frame | The tables have a tempered Ceramic-coated glass top | UV treated outdoor maxrope,Hug,https://america.couturejardin.com/wp-content/uploads/2024/06/hu02-2.jpg,https://america.couturejardin.com/product/hug-side-table-greige/
Loop Coffee Table,LP04-GREIGSTOCK-0000,LOOP,Coffee Side Tables,66.5cm/26,108cm/42.5,40cm/16,,,"UV treated, rope","Cover Greige, Cushion Cast Silver, Top Ceramic-coated glass 1, Top Ceramic-coated glass 2","welded, aluminum, powder coating",,Contract-grade welded aluminum frame | Tiger brand powder coating frame | The tables have a tempered Ceramic-coated glass top | UV treated outdoor PVC rope with rubber core;,,https://america.couturejardin.com/wp-content/uploads/2021/05/Loop_10.jpg,https://america.couturejardin.com/product/loop-coffee-table/
Loop Coffee Corner Table,LP06-GREIGSTOCK-0000,LOOP,Coffee Side Tables,,,43cm/17,,,"UV treated, rope","Cover Greige, Cushion Cast Silver, Top Ceramic-coated glass 1, Top Ceramic-coated glass 2","welded, aluminum, powder coating",,Contract-grade welded aluminum frame | Tiger brand powder coating frame | The tables have a tempered Ceramic-coated glass top | UV treated outdoor PVC rope with rubber core;,,https://america.couturejardin.com/wp-content/uploads/2021/05/172060.jpg,https://america.couturejardin.com/product/loop-coffee-corner-table/
Sweet Magazine Table Anthracite,SW02-ANTHRSTOCK-0000,SWEET,Coffee Side Tables,40cm/16,31cm/12,60cm/23.5,,,,"Anthracite, Cover Greige, White","welded, aluminum, powder coating",,• Contract-grade welded aluminum frame• Tiger brand powder coating frame,,https://america.couturejardin.com/wp-content/uploads/2024/06/sw02-ant.jpg,https://america.couturejardin.com/product/sweet-magazine-table-anthracite/
Sweet Magazine Table Greige,SW02-GREIGSTOCK-0000,SWEET,Coffee Side Tables,40cm/16,31cm/12,60cm/23.5,,,,"Anthracite, Cover Greige, White","welded, aluminum, powder coating",,• Contract-grade welded aluminum frame• Tiger brand powder coating frame,,https://america.couturejardin.com/wp-content/uploads/2024/06/sw02-greige.jpg,https://america.couturejardin.com/product/sweet-magazine-table-greige/
Sweet Magazine Table White,SW02-WHITESTOCK-0000,SWEET,Coffee Side Tables,40cm/16,31cm/12,60cm/23.5,,,,"Anthracite, Cover Greige, White","welded, aluminum, powder coating",,• Contract-grade welded aluminum frame• Tiger brand powder coating frame,,https://america.couturejardin.com/wp-content/uploads/2021/05/SW02_873-x-675.jpg,https://america.couturejardin.com/product/sweet-magazine-table-white/
Welcome Coffee Table,WE04-GREYSTOCK0-0000,WELCOME,Coffee Side Tables,70cm/28,70cm/28,30cm/12,,,,"Canvas Granite, Edden 7710-50567, Frame Light grey, Teak Look, Top Ceramic Coated 2, White Alum","welded, aluminum, powder coating, Teak",,Contract-grade welded aluminum frame | Tiger brand powder coating frame | Table have a tempered Ceramic-coated glass,,https://america.couturejardin.com/wp-content/uploads/2021/05/we04.jpg,https://america.couturejardin.com/product/welcome-coffee-table/
Welcome Coffee Table Teak,WE04-TEAKSTOCK0-0000,WELCOME,Coffee Side Tables,70cm/28,70cm/28,30cm/12,,,,"Canvas Granite, Edden 7710-50567, Frame Light grey, Teak Look, Top Ceramic Coated 2, White Alum","Teak, TEAK, welded, aluminum, powder coating",,Contract-grade welded aluminum frame | Tiger brand powder coating frame | Table have a tempered Ceramic-coated glass,,https://america.couturejardin.com/wp-content/uploads/2024/06/welcome-18.jpg,https://america.couturejardin.com/product/welcome-coffee-table-teak/
Decorative Pillow Grid Green,AC17-GRIDGREEN0-0000,ACCENT PIECES,Accent Pieces,42cm/16.5,42cm/16.5,,,,,"Anthracite, Cover Greige, White",,,PRODUCT SPECIFICATIONS W- 42cm/16.5 “ L- 42cm/16.5 “,Accent pieces,https://america.couturejardin.com/wp-content/uploads/2024/06/pillow-sku-ac17-grid-green.jpg,https://america.couturejardin.com/product/decorative-pillow-grid-green/
Decorative Pillow Grid Grey,AC17-GRIDGREY00-000,ACCENT PIECES,Accent Pieces,42cm/16.5,42cm/16.5,,,,,"Anthracite, Cover Greige, White",,,PRODUCT SPECIFICATIONS W- 42cm/16.5″ L- 42cm/16.5″,Accent pieces,https://america.couturejardin.com/wp-content/uploads/2024/06/pillow-sku-ac17-grid-grey.jpg,https://america.couturejardin.com/product/decorative-pillow-grid-grey/
Decorative Pillow Star Yellow,AC17-STARYELLOW-0000,DECORATIVE,Accent Pieces,42cm/16.5,42cm/16.5,,,,,"Anthracite, Cover Greige, White",,,PRODUCT SPECIFICATIONS W-42cm/16.5″ L-42cm/16.5″,,https://america.couturejardin.com/wp-content/uploads/2024/06/pillow-sku-ac17-star-yellow.jpg,https://america.couturejardin.com/product/decorative-pillow-star-yellow/
Decorative Pillow Star Grey,AC17-STARGREY00-0000,ACCENT PIECES,Accent Pieces,42cm/16.5,42cm/16.5,,,,,"Anthracite, Cover Greige, White",,,PRODUCT SPECIFICATIONS W-42cm/16.5″ L-42cm/16.5″,Accent pieces,https://america.couturejardin.com/wp-content/uploads/2024/06/pillow-sku-ac17-star-grey.jpg,https://america.couturejardin.com/product/decorative-pillow-star-grey/
