SKU,Product_Name,MSRP,Sale_Price
TGC-MMR-32,Care Mold & Mildew Remover 32oz,38.0,28.5
TGC-UFP-32,Care Upholstery & Fabric Protector 32oz,62.0,46.5
TGC-TWC-16,Care Teak & Wood Cleaner 16oz,28.0,21.0
TGC-TBS-16,Care Teak & Wood Brightener/Sealer 16oz,45.0,33.75
TGC-TTP-16,Care Teak & Tung Oil Protector 16oz,49.0,36.75
TGC-MSC-32,Care Multi-Surface Cleaner 32oz,33.0,24.75
TGC-WTP-32,Care Weather & UV Protector 32oz,45.0,33.75
TGC-MSP-16,Care Multi-Surface Polish 16oz,35.0,26.25
TGC-001,Care Merchandising Kit,82.0,61.5
TOUCHUP-BRZ20,Touch Up Paint Bronze,67.0,50.25
TOUCHUP-CHAMP,Touch Up Paint Champagne,67.0,50.25
TOUCHUP-ANTHR,Touch Up Paint Anthracite,67.0,50.25
TOUCHUP-WHT,Touch Up Paint White,67.0,50.25
TOUCHUP-BLK,Touch Up Paint Black,67.0,50.25
TOUCHUP-5T,Touch Up Paint Platinum,67.0,50.25
TGC-SP-2PK,Application Tool Sponge 2-Pack,10.0,7.5
TGC-AC-3PK,Application Tool Applicator Cloth 3-Pack,10.0,7.5
RTD-09,Rug Tower Display,850.0,637.5
BD609,Umbrella Display,120.0,90.0
UMINI-QS_AWN,Mini Umbrella Display Solid - Sunbrella Awning,185.0,138.75
CMINI_AWN,Mini Umbrella Display CMINI Solid - Sunbrella Awning,120.0,90.0
DC4-MINI_A,Add-On Designer Canopy DC4/DC5 for Mini - Grade A,32.0,24.0
DC21-MINI_AWN,Add-On Designer Canopy DC21/DC22 for Mini - Sunbrella Awning,60.0,45.0
DC21-MINI_A,Add-On Designer Canopy DC21/DC22 for Mini - Grade A,54.0,40.5
DC21-MINI_C,Add-On Designer Canopy DC21/DC22 for Mini - Grade C,48.0,36.0
