suggested_bucket,decision,manufacturer,collection,category,sku,name,msrp,sale_price,images,quote_only,show_price_online,id
REVIEW,,Homecrest,Mode,Bar,134466BR,"Mode 44"" x 66"" Rectangle Bar Table (no Hole)",,,1,True,False,6122
REVIEW,,Homecrest,Mode,Bar,134466BRWH,"Mode 44"" x 66"" Rectangle Bar Table (with Hole)",,,1,True,False,4204
REVIEW,,Homecrest,Mode,Bar,134466BWH,"Mode 44"" x 66"" Rectangle Balcony Table (with Hole)",,,1,True,False,4203
REVIEW,,Homecrest,Mode,Tables,134466F,"Mode 44"" x 66"" Rectangle Dining Table (no Hole)",,,1,True,False,6114
REVIEW,,Homecrest,Mode,Tables,134466FWH,"Mode 44"" x 66"" Rectangle Dining Table (with Hole)",,,1,True,False,4202
REVIEW,,Homecrest,Mode,Bar,134488B,"Mode 44"" x 88"" Rectangle Balcony Table (no Hole)",,,1,True,False,6119
REVIEW,,Homecrest,Mode,Bar,134488BR,"Mode 44"" x 88"" Rectangle Bar Table (no Hole)",,,1,True,False,6123
REVIEW,,Homecrest,Mode,Bar,134488BRWH,"Mode 44"" x 88"" Rectangle Bar Table (with Hole)",,,1,True,False,4207
REVIEW,,Homecrest,Mode,Bar,134488BWH,"Mode 44"" x 88"" Rectangle Balcony Table (with Hole)",,,1,True,False,4206
REVIEW,,Homecrest,Mode,Tables,134488F,"Mode 44"" x 88"" Rectangle Dining Table (no Hole)",,,1,True,False,6115
REVIEW,,Homecrest,Mode,Tables,134488FWH,"Mode 44"" x 88"" Rectangle Dining Table (with Hole)",,,1,True,False,4205
REVIEW,,Homecrest,Mode,Accessories,91006,"Mode 14"" x 26.25"" Burner Cover",,,1,True,False,6125
REVIEW,,Homecrest,Shadow Rock,Tables,2542SBSH,"Shadow Rock Square Balcony Table 42"" (Post Base, with Hole)",,,0,True,False,5928
