id,sku,current_name,final_name,final_slug,method
4009,94580,Armless Balcony Stool,Echo Armless Balcony Stool,echo-armless-balcony-stool,COLLECTION_ONLY
4010,94480,Armless Bar Stool,Echo Armless Bar Stool,echo-armless-bar-stool,COLLECTION_ONLY
4007,94350,Armless Dining Chair (Stackable),Echo Armless Dining Chair (Stackable),echo-armless-dining-chair-stackable,COLLECTION_ONLY
4008,94370,Dining Chair (Stackable),Echo Dining Chair (Stackable),echo-dining-chair-stackable,COLLECTION_ONLY
4011,CH-PAD,Removable Seat Pad (with Ties),Echo Removable Seat Pad (with Ties),echo-removable-seat-pad-with-ties,COLLECTION_ONLY
4012,CH-PADNT,Removable Seat Pad (without Ties),Echo Removable Seat Pad (without Ties),echo-removable-seat-pad-without-ties,COLLECTION_ONLY
4249,262348,Balcony Bench,Eden Balcony Bench,eden-balcony-bench,COLLECTION_ONLY
4258,2634110,Balcony Table,"Eden 35.5"" x 110"" Balcony Table",eden-35-5-x-110-balcony-table,COLLECTION_PLUS_MEASUREMENT
4255,263460,Balcony Table,"Eden 35.5"" x 60"" Balcony Table",eden-35-5-x-60-balcony-table,COLLECTION_PLUS_MEASUREMENT
4250,262948,Bar Bench/Sofa Table,Eden Bar Bench/Sofa Table,eden-bar-bench-sofa-table,COLLECTION_ONLY
4256,264060,Bar Table,"Eden 35.5"" x 60"" Bar Table",eden-35-5-x-60-bar-table,COLLECTION_PLUS_MEASUREMENT
4259,2640110,Bar Table,"Eden 35.5"" x 110"" Bar Table",eden-35-5-x-110-bar-table,COLLECTION_PLUS_MEASUREMENT
4253,261660,Coffee Table,Eden Coffee Table,eden-coffee-table,COLLECTION_ONLY
4248,261948,Dining Bench,Eden Dining Bench,eden-dining-bench,COLLECTION_ONLY
4281,6254RFLT,Dining Table,"Latitude 54"" Cafe Table",latitude-54-cafe-table,MANUFACTURER_VERIFIED_OVERRIDE
4257,2630110,Dining Table,"Eden 35.5"" x 110"" Dining Table",eden-35-5-x-110-dining-table,COLLECTION_PLUS_MEASUREMENT
4254,263060,Dining Table,"Eden 35.5"" x 60"" Dining Table",eden-35-5-x-60-dining-table,COLLECTION_PLUS_MEASUREMENT
4252,2624S,End Table,Eden End Table,eden-end-table,COLLECTION_ONLY
4251,2621S,Side Table,Eden Side Table,eden-side-table,COLLECTION_ONLY
4016,51180,High Back Dining Chair,Elements High Back Dining Chair,elements-high-back-dining-chair,COLLECTION_ONLY
4017,51980,High Back Swivel Rocker,Elements High Back Swivel Rocker,elements-high-back-swivel-rocker,COLLECTION_ONLY
4014,51680,Low Back Dining Chair,Elements Low Back Dining Chair,elements-low-back-dining-chair,COLLECTION_ONLY
4015,51880,Low Back Swivel Rocker,Elements Low Back Swivel Rocker,elements-low-back-swivel-rocker,COLLECTION_ONLY
4018,51780,Swivel Rocker Balcony Stool,Elements Swivel Rocker Balcony Stool,elements-swivel-rocker-balcony-stool,COLLECTION_ONLY
4049,56550,Armless Balcony Stool,Elevate Armless Balcony Stool,elevate-armless-balcony-stool,COLLECTION_ONLY
4051,56450,Armless Bar Stool,Elevate Armless Bar Stool,elevate-armless-bar-stool,COLLECTION_ONLY
4047,56350,Armless Dining Chair (Stackable),Elevate Armless Dining Chair (Stackable),elevate-armless-dining-chair-stackable,COLLECTION_ONLY
4050,56570,Balcony Stool,Elevate Balcony Stool,elevate-balcony-stool,COLLECTION_ONLY
4052,56470,Bar Stool,Elevate Bar Stool,elevate-bar-stool,COLLECTION_ONLY
4048,56370,Dining Chair (Stackable),Elevate Dining Chair (Stackable),elevate-dining-chair-stackable,COLLECTION_ONLY
4065,32180,High Back Dining Chair,Harbor High Back Dining Chair,harbor-high-back-dining-chair,COLLECTION_ONLY
4066,32980,High Back Swivel Rocker,Harbor High Back Swivel Rocker,harbor-high-back-swivel-rocker,COLLECTION_ONLY
4063,32681,Low Back Dining Chair,Harbor Low Back Dining Chair,harbor-low-back-dining-chair,COLLECTION_ONLY
4064,32880,Low Back Swivel Rocker,Harbor Low Back Swivel Rocker,harbor-low-back-swivel-rocker,COLLECTION_ONLY
4067,32781,Swivel Rocker Balcony Stool,Harbor Swivel Rocker Balcony Stool,harbor-swivel-rocker-balcony-stool,COLLECTION_ONLY
4070,2A180,High Back Dining Chair,Holly Hill High Back Dining Chair,holly-hill-high-back-dining-chair,COLLECTION_ONLY
4074,2A449,High Back Loveseat Glider,Holly Hill High Back Loveseat Glider,holly-hill-high-back-loveseat-glider,COLLECTION_ONLY
4071,2A980,High Back Swivel Rocker,Holly Hill High Back Swivel Rocker,holly-hill-high-back-swivel-rocker,COLLECTION_ONLY
4068,2A680,Low Back Dining Chair,Holly Hill Low Back Dining Chair,holly-hill-low-back-dining-chair,COLLECTION_ONLY
4069,2A880,Low Back Swivel Rocker,Holly Hill Low Back Swivel Rocker,holly-hill-low-back-swivel-rocker,COLLECTION_ONLY
4073,2A480,Swivel Bar Stool,Holly Hill Swivel Bar Stool,holly-hill-swivel-bar-stool,COLLECTION_ONLY
