page,collection,category,name,sku,sku_2pack,material,width,depth,height,length,seat_height,arm_height,weight,notes,table_height_type
127,,Umbrellas,9' Octagon Pulley Lift Market Umbrella,854FM,,Aluminum,,,97,,,,18,"Overall Height: 97""; Clearance: 77""; Closed Clearance: 41""; Mast Diameter: 1.5""; Bar height pole option (47FM-BP) adds 10"" to overall height",
126,,Umbrellas,Aluminum Shell Umbrella Base,00092,,Aluminum,15.5,15.5,6.5,,,,30,Must fill with sand. For in-table use.,
127,,Umbrellas,Aluminum Shell Umbrella Base,00092,,Aluminum,15.5,15.5,6.5,,,,30,Must fill with sand. For in-table use.,
59,,Umbrellas,Cast Iron Umbrella Base,00091,,Cast Iron,,,,,,,,Shown in Carbon Finish,
126,,Umbrellas,Cast Iron Umbrella Base,00091,,,20,20,20.5,,,,80,For in-table use.,
127,,Umbrellas,Cast Iron Umbrella Base,00091,,Cast Iron,20,20,20.5,,,,80,For in-table use.,
126,,Umbrellas,Premium Aluminum Umbrella Base (with Wheels),100A,,Aluminum,24,24,4,,,,100,For freestanding use.,
127,,Umbrellas,Premium Aluminum Umbrella Base (with Wheels),100A,,Aluminum,24,24,4,,,,100,For freestanding use.,
10,Allure,Metal,Armless Adjustable Chaise,1131M,1131M-2,Expanded Mesh | Aluminum,28,,35,77,16,,,Stackable: 2-6,
10,Allure,Metal,Armless Adjustable Chaise (with Wheels),1130M,1130M-2,Expanded Mesh | Aluminum,28,,35,77,16,,,Stackable: 2-6,
10,Allure,Metal,Armless Balcony Stool,1155M,,Expanded Mesh | Aluminum,20,21,40,,24,,,,
10,Allure,Metal,Armless Bar Stool,1145M,,Expanded Mesh | Aluminum,20,21,43.5,,29,,,,
10,Allure,Metal,Armless Dining Chair,1135M,,Expanded Mesh | Aluminum,20,21,34,,18,,,,
10,Allure,Metal,Armless Dining Chair,1235M,1235M-2,Expanded Mesh | Aluminum,21.5,21,34,,18,,,Stackable: 2-6,
10,Allure,Metal,Balcony Stool,1158M,,Expanded Mesh | Aluminum,24.5,21,40,,24,30.5,,,
10,Allure,Metal,Bar Stool,1148M,,Expanded Mesh | Aluminum,24.5,21,43.5,,29,35.5,,,
10,Allure,Metal,Dining Chair,1137M,,Expanded Mesh | Aluminum,22.5,21,34,,18,24.5,,,
10,Allure,Metal,Dining Chair,1237M,1237M-2,Expanded Mesh | Aluminum,24.5,21,34,,18,24.5,,Stackable: 2-6,
10,Allure,Metal,Wind Kit Set,11370WS,,Aluminum,,,,,,,5.66,The optional Wind Kit Set is not compatible with chaises.,
8,Allure,Outdoor Essentials,Wind Kit Set,11370WS,,Aluminum,,,,,,,5.66,"Not compatible with chaises. When ordering a sofa, order three sets.",
8,Allure,Sling,Armless Adjustable Chaise,11310,11310-2,Sling | Aluminum,28,,35,77,16,,,Stackable: 2-6,
8,Allure,Sling,Armless Adjustable Chaise (with Wheels),11300,11300-2,Sling | Aluminum,28,,35,77,16,,,Stackable: 2-6,
8,Allure,Sling,Armless Balcony Stool,11550,,Sling | Aluminum,20,21,38.5,,24,,,,
8,Allure,Sling,Armless Bar Stool,11450,,Sling | Aluminum,20,21,43.5,,29,,,,
8,Allure,Sling,Armless Dining Chair,11350,,Sling | Aluminum,20,21,32.5,,18,,,,
8,Allure,Sling,Armless Dining Chair,12350,12350-2,Sling | Aluminum,21.5,21,32.5,,18,,,Stackable: 2-6,
11,Allure,Sling,Armless Dining Chair,1235M,,,,,,,,,,Shown in Carbon Finish,
8,Allure,Sling,Balcony Stool,11580,,Sling | Aluminum,24.5,21,38.5,,24,30.5,,,
8,Allure,Sling,Bar Stool,11480,,Sling | Aluminum,24.5,21,43.5,,29,35.5,,,
8,Allure,Sling,Chat Chair,11380,,Sling | Aluminum,28,24.5,31,,16.5,21.5,,,
8,Allure,Sling,Dining Chair,11370,,Sling | Aluminum,22.5,21,32.5,,18,24.5,,,
8,Allure,Sling,Dining Chair,12370,12370-2,Sling | Aluminum,24.5,21,32.5,,18,24.5,,Stackable: 2-6,
8,Allure,Sling,Sofa,11430,,Sling | Aluminum,78,24.5,31,,16.5,21.5,,,
11,Allure,Tables + Bases,"36"" Slate Dining Table",C3636SSLNU,,,36,36,,,,,,Char Top | Carbon Finish | 1800B Base (Discontinued),dining
20,Blair,Air,Chat Chair,10AR392,,Sling | Aluminum,34.5,33,36,,18,23,,,
20,Blair,Air,Loveseat,10AR422,,Sling | Aluminum,60.5,33,36,,18,23,,,
20,Blair,Air,Sofa,10AR432,,Sling | Aluminum,87,33,36,,18,23,,,
20,Blair,Air,Swivel Chat Chair,10AR902,,Sling | Aluminum,34.5,33,36,,18,23,,,
17,Blair,Cushion,Armless Center Chat Chair,8439N,,Aluminum,24,33,35,,18,,,-DC or -UC; *Units are not standalone pieces,
19,Blair,Cushion,Armless Center Chat Chair,8539N,,,24,33,35,,18,,,-DC or -UC; *Units are not standalone pieces,
17,Blair,Cushion,Chat Chair,8439A,,Aluminum,32,33,35,,18,24,,-DC or -UC,
19,Blair,Cushion,Chat Chair,8539A,,,32,33,35,,18,24,,-DC or -UC,
