id,sku,name,slug,collection,category_id,category,specs,is_active,available_online
5773,C0048RCTNU+3330B,"Concrete 48"" Round Dining Table (Pedestal Base, no Hole)",concrete-48-round-dining-table-pedestal-base-no-hole-c0048rctnu-3330b-concrete-homecrest,Concrete,52,Tables,"{'Depth': '48""', 'Width': '48""', 'Height': '29.25""'}",True,True
5774,C0048RCTNU+3334B,"Concrete 48"" Round Balcony Table (Pedestal Base, no Hole)",concrete-48-round-balcony-table-pedestal-base-no-hole-c0048rctnu-3334b-concrete-homecrest,Concrete,52,Tables,"{'Depth': '48""', 'Width': '48""', 'Height': '33.25""'}",True,True
5775,C0048RCTNU+3340B,"Concrete 48"" Round Bar Table (Pedestal Base, no Hole)",concrete-48-round-bar-table-pedestal-base-no-hole-c0048rctnu-3340b-concrete-homecrest,Concrete,52,Tables,"{'Depth': '48""', 'Width': '48""', 'Height': '39.25""'}",True,True
4400,42SQCTTT,"Concrete Fire Tables 42"" Lounge Fire Table",concrete-fire-tables-42-lounge-fire-table,Concrete Fire Tables,45,Fire Tables,"{'Depth': '42""', 'Width': '42""', 'Height': '21.5""'}",True,True
4401,893252XCTTT,"Concrete Fire Tables 32"" x 52"" Lounge Fire Table",concrete-fire-tables-32-x-52-lounge-fire-table,Concrete Fire Tables,45,Fire Tables,"{'Depth': '52""', 'Width': '32""', 'Height': '21.5""'}",True,True
4402,893660XCTTT,Concrete Fire Tables Lounge Fire Pit,concrete-fire-tables-lounge-fire-pit,Concrete Fire Tables,45,Fire Tables,"{'Depth': '60""', 'Width': '36""', 'Height': '21.5""'}",True,True
4403,54RCTFPTT+89RBC,"Concrete Balcony Fire Table Round 54""",concrete-balcony-fire-table-round-54,Concrete Fire Tables,45,Fire Tables,"{'Depth': '54""', 'Width': '54""', 'Height': '34.5""'}",True,True
4404,42RCTFPTT+89RBC,"Concrete Balcony Fire Table Round 42""",concrete-balcony-fire-table-round-42,Concrete Fire Tables,45,Fire Tables,"{'Depth': '42""', 'Width': '42""', 'Height': '34.5""'}",True,True
4299,3724RSH,Shadow Rock Side Table,shadow-rock-side-table,Shadow Rock,52,Tables,"{'Depth': '24""', 'Notes': '3-legged base', 'Width': '24""', 'Height': '15.5""', 'Material': 'Aluminum'}",True,True
4300,3723RSH,Shadow Rock End Table,shadow-rock-end-table,Shadow Rock,52,Tables,"{'Depth': '24""', 'Notes': '3-legged base', 'Width': '24""', 'Height': '19.5""', 'Material': 'Aluminum'}",True,True
4301,1330RSH,Shadow Rock Adjustable Table,shadow-rock-adjustable-table,Shadow Rock,52,Tables,"{'Depth': '30""', 'Width': '30""', 'Height': '18.25""-30.75""', 'Material': 'Aluminum'}",True,True
4302,3742RCSHNU,"Shadow Rock 42"" Chat Table",shadow-rock-42-chat-table,Shadow Rock,52,Tables,"{'Depth': '42""', 'Width': '42""', 'Height': '21.5""', 'Material': 'Aluminum'}",True,True
4303,3742RFSH,"Shadow Rock 42"" Dining Table",shadow-rock-42-dining-table,Shadow Rock,44,Dining,"{'Depth': '42""', 'Width': '42""', 'Height': '29.25""', 'Material': 'Aluminum'}",True,True
4304,3742RBSH,"Shadow Rock 42"" Balcony Table",shadow-rock-42-balcony-table,Shadow Rock,47,Bar,"{'Depth': '42""', 'Width': '42""', 'Height': '34.25""', 'Material': 'Aluminum'}",True,True
4305,374262FSH,Shadow Rock 42” x 62” Dining Table,shadow-rock-42-x-62-dining-table,Shadow Rock,44,Dining,"{'Depth': '62""', 'Width': '42""', 'Height': '29.25""', 'Material': 'Aluminum'}",True,True
4306,374272BSH,"Shadow Rock 42"" x 72"" Balcony Table",shadow-rock-42-x-72-balcony-table,Shadow Rock,47,Bar,"{'Depth': '72""', 'Width': '42""', 'Height': '34.25""', 'Material': 'Aluminum'}",True,True
4307,374262BSH,Shadow Rock 42” x 62” Balcony Table,shadow-rock-42-x-62-balcony-table,Shadow Rock,47,Bar,"{'Depth': '62""', 'Width': '42""', 'Height': '34.25""', 'Material': 'Aluminum'}",True,True
4308,374272FSH,"Shadow Rock 42"" x 72"" Dining Table",shadow-rock-42-x-72-dining-table,Shadow Rock,44,Dining,"{'Depth': '72""', 'Width': '42""', 'Height': '29.25""', 'Material': 'Aluminum'}",True,True
4309,374282FSH,"Shadow Rock 42"" x 82"" Dining Table (Universal Base)",shadow-rock-42-x-82-dining-table-universal-base,Shadow Rock,44,Dining,"{'Depth': '82""', 'Width': '42""', 'Height': '29.25""', 'Material': 'Aluminum'}",True,True
4310,374282BSH,"Shadow Rock 42"" x 82"" Balcony Table (Universal Base)",shadow-rock-42-x-82-balcony-table-universal-base,Shadow Rock,47,Bar,"{'Depth': '82""', 'Width': '42""', 'Height': '34.25""', 'Material': 'Aluminum'}",True,True
4311,254282FSH,"Shadow Rock 42"" x 82"" Dining Table (Post Base)",shadow-rock-42-x-82-dining-table-post-base,Shadow Rock,44,Dining,"{'Depth': '82""', 'Width': '42""', 'Height': '30.25""', 'Material': 'Natural Series'}",True,True
4312,254282BSH,"Shadow Rock 42"" x 82"" Balcony Table (Post Base)",shadow-rock-42-x-82-balcony-table-post-base,Shadow Rock,47,Bar,"{'Depth': '82""', 'Width': '42""', 'Height': '34.25""', 'Material': 'Natural Series'}",True,True
4313,374484FSH,"Shadow Rock 44"" x 84"" Dining Table",shadow-rock-44-x-84-dining-table,Shadow Rock,44,Dining,"{'Depth': '84""', 'Width': '44""', 'Height': '29.25""', 'Material': 'Aluminum'}",True,True
