id,sku,name,collection,specs,description,short_description
5734,C0030RCT+2340B,"Concrete 30"" Round Bar Table (Pedestal Base, no Hole)",Concrete,"{'Depth': '30""', 'Width': '30""', 'Height': '39.25""'}","Offering a simple yet sophisticated style to your outdoor space design has never been easier than with Homecrest's Concrete table tops. A member of our Natural Series collection, our Concrete tables are crafted using the latest in composite technology, giving you a contemporary, industrial-chic piece that is as durable as it is beautiful. This collection is sure to please those with an eye for innovative aesthetics.",
5735,C3030SCTWH+2330B,"Concrete 30"" Square Dining Table (Pedestal Base, with Hole)",Concrete,"{'Depth': '30""', 'Width': '30""', 'Height': '29.25""'}","Offering a simple yet sophisticated style to your outdoor space design has never been easier than with Homecrest's Concrete table tops. A member of our Natural Series collection, our Concrete tables are crafted using the latest in composite technology, giving you a contemporary, industrial-chic piece that is as durable as it is beautiful. This collection is sure to please those with an eye for innovative aesthetics.",
5736,C3030SCTWH+2334B,"Concrete 30"" Square Balcony Table (Pedestal Base, with Hole)",Concrete,"{'Depth': '30""', 'Width': '30""', 'Height': '33.25""'}","Offering a simple yet sophisticated style to your outdoor space design has never been easier than with Homecrest's Concrete table tops. A member of our Natural Series collection, our Concrete tables are crafted using the latest in composite technology, giving you a contemporary, industrial-chic piece that is as durable as it is beautiful. This collection is sure to please those with an eye for innovative aesthetics.",
5737,C3030SCTWH+2340B,"Concrete 30"" Square Bar Table (Pedestal Base, with Hole)",Concrete,"{'Depth': '30""', 'Width': '30""', 'Height': '39.25""'}","Offering a simple yet sophisticated style to your outdoor space design has never been easier than with Homecrest's Concrete table tops. A member of our Natural Series collection, our Concrete tables are crafted using the latest in composite technology, giving you a contemporary, industrial-chic piece that is as durable as it is beautiful. This collection is sure to please those with an eye for innovative aesthetics.",
5738,C3030SCT+5723B,"Concrete 30"" Square End Table (Post Base, no Hole)",Concrete,"{'Depth': '30""', 'Width': '30""', 'Height': '21""'}","Offering a simple yet sophisticated style to your outdoor space design has never been easier than with Homecrest's Concrete table tops. A member of our Natural Series collection, our Concrete tables are crafted using the latest in composite technology, giving you a contemporary, industrial-chic piece that is as durable as it is beautiful. This collection is sure to please those with an eye for innovative aesthetics.",
5739,C3030SCT+2330B,"Concrete 30"" Square Dining Table (Pedestal Base, no Hole)",Concrete,"{'Depth': '30""', 'Width': '30""', 'Height': '29.25""'}","Offering a simple yet sophisticated style to your outdoor space design has never been easier than with Homecrest's Concrete table tops. A member of our Natural Series collection, our Concrete tables are crafted using the latest in composite technology, giving you a contemporary, industrial-chic piece that is as durable as it is beautiful. This collection is sure to please those with an eye for innovative aesthetics.",
5740,C3030SCT+2334B,"Concrete 30"" Square Balcony Table (Pedestal Base, no Hole)",Concrete,"{'Depth': '30""', 'Width': '30""', 'Height': '33.25""'}","Offering a simple yet sophisticated style to your outdoor space design has never been easier than with Homecrest's Concrete table tops. A member of our Natural Series collection, our Concrete tables are crafted using the latest in composite technology, giving you a contemporary, industrial-chic piece that is as durable as it is beautiful. This collection is sure to please those with an eye for innovative aesthetics.",
5741,C3030SCT+2340B,"Concrete 30"" Square Bar Table (Pedestal Base, no Hole)",Concrete,"{'Depth': '30""', 'Width': '30""', 'Height': '39.25""'}","Offering a simple yet sophisticated style to your outdoor space design has never been easier than with Homecrest's Concrete table tops. A member of our Natural Series collection, our Concrete tables are crafted using the latest in composite technology, giving you a contemporary, industrial-chic piece that is as durable as it is beautiful. This collection is sure to please those with an eye for innovative aesthetics.",
5742,C3252XCT+273252B,"Concrete 32"" x 52"" Rectangle Coffee Table (Trestle Base, no Hole)",Concrete,"{'Depth': '52""', 'Width': '32""', 'Height': '15.1""'}","Offering a simple yet sophisticated style to your outdoor space design has never been easier than with Homecrest's Concrete table tops. A member of our Natural Series collection, our Concrete tables are crafted using the latest in composite technology, giving you a contemporary, industrial-chic piece that is as durable as it is beautiful. This collection is sure to please those with an eye for innovative aesthetics.",
5743,C0036RCT+2330B,"Concrete 36"" Round Dining Table (Pedestal Base, with Hole)",Concrete,"{'Depth': '36""', 'Width': '36""', 'Height': '29.25""'}","Offering a simple yet sophisticated style to your outdoor space design has never been easier than with Homecrest's Concrete table tops. A member of our Natural Series collection, our Concrete tables are crafted using the latest in composite technology, giving you a contemporary, industrial-chic piece that is as durable as it is beautiful. This collection is sure to please those with an eye for innovative aesthetics.",
5744,C0036RCT+2334B,"Concrete 36"" Round Balcony Table (Pedestal Base, with Hole)",Concrete,"{'Depth': '36""', 'Width': '36""', 'Height': '33.25""'}","Offering a simple yet sophisticated style to your outdoor space design has never been easier than with Homecrest's Concrete table tops. A member of our Natural Series collection, our Concrete tables are crafted using the latest in composite technology, giving you a contemporary, industrial-chic piece that is as durable as it is beautiful. This collection is sure to please those with an eye for innovative aesthetics.",
5745,C0036RCT+2340B,"Concrete 36"" Round Bar Table (Pedestal Base, with Hole)",Concrete,"{'Depth': '36""', 'Width': '36""', 'Height': '39.25""'}","Offering a simple yet sophisticated style to your outdoor space design has never been easier than with Homecrest's Concrete table tops. A member of our Natural Series collection, our Concrete tables are crafted using the latest in composite technology, giving you a contemporary, industrial-chic piece that is as durable as it is beautiful. This collection is sure to please those with an eye for innovative aesthetics.",
5746,C0036RCTNU+2330B,"Concrete 36"" Round Dining Table (Pedestal Base, no Hole)",Concrete,"{'Depth': '36""', 'Width': '36""', 'Height': '29.25""'}","Offering a simple yet sophisticated style to your outdoor space design has never been easier than with Homecrest's Concrete table tops. A member of our Natural Series collection, our Concrete tables are crafted using the latest in composite technology, giving you a contemporary, industrial-chic piece that is as durable as it is beautiful. This collection is sure to please those with an eye for innovative aesthetics.",
